Name,personId,222_best,222_worldRank,333_best,333_worldRank,333bf_best,333bf_worldRank,333fm_best,333fm_worldRank,333ft_best,333ft_worldRank,333mbf_best,333mbf_worldRank,333oh_best,333oh_worldRank,444_best,444_worldRank,444bf_best,444bf_worldRank,555_best,555_worldRank,666_best,666_worldRank,777_best,777_worldRank,clock_best,clock_worldRank,minx_best,minx_worldRank,pyram_best,pyram_worldRank,skewb_best,skewb_worldRank,sq1_best,sq1_worldRank
David Yoon,2022YOON03,2.8,18040.0,13.0,40510,,,,,,,,,33.1,33756.0,81.8,40946.0,,,148.0,22243.0,,,430.1,9390.0,12.5,8731.0,125.3,13798.0,4.2,8832.0,3.6,4647.0,37.9,13304.0
Nicholas Trofimov,2019TROF04,2.9,19273.0,13.1,41365,,,,,133.4,1791.0,,,23.6,18857.0,46.8,13820.0,,,102.1,12258.0,,,367.0,7853.0,10.9,6894.0,86.5,7094.0,4.1,8672.0,4.5,8296.0,31.9,11223.0
Ethan Pike,2024PIKE01,3.2,25783.0,13.4,44078,,,,,,,,,43.2,44050.0,,,,,,,,,,,18.2,13949.0,,,9.4,52501.0,12.2,41648.0,,
Samuel Kim,2023KIMS13,3.6,32936.0,13.7,46811,,,,,,,,,38.5,39862.0,58.4,24264.0,,,,,,,,,8.1,3564.0,,,13.2,81150.0,,,,
Andy Simpson,2022SIMP04,3.3,27924.0,14.1,49586,,,0.4,6451.0,,,,,31.4,31266.0,67.0,30982.0,,,112.6,14972.0,,,,,12.7,8921.0,98.8,9406.0,4.8,12702.0,5.5,13229.0,36.7,12919.0
Adam Paluchowski,2022PALU03,2.7,16327.0,14.2,50604,,,,,,,,,35.6,36678.0,91.4,46266.0,,,,,,,,,35.7,21440.0,,,3.8,7214.0,5.1,11401.0,,
Tyler Del Deo,2024DEOT01,4.3,47420.0,14.7,55150,,,,,,,,,,,,,,,,,,,,,,,162.2,19061.0,10.0,57946.0,,,,
Alex Hamburg,2019HAMB01,3.1,23328.0,15.3,59762,482.8,9923.0,0.5,7461.0,,,,,29.5,28445.0,66.3,30501.0,,,130.7,18997.0,244.7,9435.0,480.3,10180.0,6.9,2358.0,120.7,13047.0,5.3,15727.0,5.0,10792.0,35.5,12558.0
Isaiah Simms,2023SIMM09,5.3,68288.0,15.4,60397,,,,,,,,,,,,,,,,,,,,,26.7,18783.0,,,4.2,8875.0,,,,
Luciano James Capuano,2023CAPU02,2.5,12786.0,16.7,70947,,,,,,,,,53.5,50594.0,,,,,,,,,,,6.2,1758.0,110.1,11366.0,1.7,545.0,3.7,5126.0,,
Ming Chai,2022CHAI09,2.8,18040.0,16.8,72009,,,,,,,,,,,95.3,48325.0,,,,,,,,,7.2,2679.0,,,4.5,10789.0,7.5,23028.0,,
Adrian Deng,2024DENG08,,,17.0,73051,,,,,,,,,,,,,,,150.4,22620.0,,,,,,,,,9.3,51495.0,,,,
Tobin Lee,2024LEET04,3.0,21281.0,17.7,78661,,,,,,,,,,,,,,,,,,,,,,,,,11.2,67766.0,,,,
Kyle Watters,2022WATT07,3.7,35982.0,17.8,79555,,,,,,,,,,,109.0,54607.0,,,,,,,,,,,,,21.7,104436.0,,,,
Kenta Fujii,2023FUJI11,2.8,18930.0,18.1,81761,,,,,,,,,58.7,52809.0,121.8,59183.0,,,,,,,,,10.4,6257.0,199.4,23058.0,5.2,15531.0,10.7,36499.0,,
Yili Yi,2024YIYI01,4.0,40398.0,18.5,84575,,,0.6,10172.0,,,,,69.6,56445.0,64.9,29341.0,,,226.0,31051.0,406.6,13562.0,480.6,10184.0,,,,,10.9,65874.0,6.8,19369.0,55.6,17275.0
Jillian Kruep,2024KRUE01,4.9,60328.0,20.9,101342,,,,,,,,,49.0,48115.0,112.5,56007.0,,,200.6,29160.0,,,,,10.2,6111.0,,,7.6,35593.0,4.0,6510.0,,
Theodore Chen,2023CHET03,2.8,18552.0,21.0,101819,,,,,,,,,,,117.0,57635.0,,,,,,,,,7.8,3256.0,123.5,13482.0,6.4,25162.0,8.3,26923.0,22.2,6804.0
Maxim Kanshin,2023KANS04,3.8,37565.0,22.0,108611,,,,,,,,,,,153.4,66561.0,,,,,,,,,,,,,7.8,37172.0,13.0,43980.0,,
Aaron Troychansky,2024TROY01,2.6,15553.0,23.8,119686,,,,,,,,,,,103.5,52287.0,,,,,,,,,17.4,13341.0,,,5.5,17631.0,4.8,9920.0,,
Esther Suh,2024SUHE01,9.0,117338.0,25.0,126411,,,,,,,,,,,,,,,,,,,,,,,,,9.3,51939.0,,,,
Gatsby Aaron Roberts,2024ROBE32,4.8,57706.0,25.1,126963,,,,,,,,,,,,,,,,,,,,,,,,,15.4,91597.0,,,,
Ryan Reichardt-Holtorf,2022REIC07,4.0,41818.0,25.4,128295,,,,,,,,,,,,,,,,,,,,,34.3,21122.0,,,14.0,85863.0,15.4,49673.0,,
Ezra Sorrenti,2024SORR02,6.3,84918.0,25.7,129926,,,,,,,,,66.8,55598.0,107.4,53947.0,,,221.1,30725.0,,,,,32.0,20558.0,,,18.9,100792.0,14.1,46835.0,,
Yechen Fang,2025FANG02,,,32.0,159066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley Reichenberg,2024REIC03,5.8,76247.0,32.7,161793,,,,,,,,,,,,,,,,,,,,,,,,,13.7,84147.0,,,,
Charles Schwarz,2024SCHW15,,,34.8,169638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Silbert,2024SILB01,11.5,132676.0,55.3,216232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne S. Squadron,2024SQUA03,,,120.3,241033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
